seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12827,716361,74,43902379,162,Dieke Van Straten (FC Utrecht) Blocked Pass at 26',Dieke Van Straten Blocked Pass,1,1539,26',21978,0,0,1980-01-01,0.0,0.0,0.668,0.555,0.0,0.0,317223.0,Dieke Van Straten,2024-10-03 05:37:51
12827,716361,75,43902380,162,Yara Helderman (Excelsior) Blocked Pass at 26',Yara Helderman Blocked Pass,1,1545,26',20799,0,0,1980-01-01,0.0,0.0,0.96,0.473,0.0,0.0,325986.0,Yara Helderman,2024-10-03 05:37:51
12827,716361,76,43902381,124,Lieke De With (Excelsior) Throw In at 26',Lieke De With Throw In,1,1553,26',20799,0,0,1980-01-01,0.0,0.0,0.94,0.0,0.836,0.92,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,77,43902382,124,Nurija Van Schoonhoven (FC Utrecht) Throw In at 28',Nurija Van Schoonhoven Throw In,1,1653,28',21978,0,0,1980-01-01,0.0,0.0,0.69,1.0,0.636,0.938,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,78,43902383,66,Maxime Snellenberg (FC Utrecht) Foul at 29',Maxime Snellenberg Foul,1,1734,29',21978,0,0,1980-01-01,0.0,0.0,0.948,0.694,0.0,0.0,312512.0,Maxime Snellenberg,2024-10-03 05:37:51
12827,716361,78,43902383,66,Maxime Snellenberg (FC Utrecht) Foul at 29',Maxime Snellenberg Foul,1,1734,29',21978,0,0,1980-01-01,0.0,0.0,0.948,0.694,0.0,0.0,,Lynn Groenewegen,2024-10-03 05:37:51
12827,716361,79,43902384,96,Sabrine Ellouzi (Excelsior) Free Kick at 30',Sabrine Ellouzi Free Kick,1,1741,30',20799,0,0,1980-01-01,0.0,0.0,0.996,0.782,0.748,0.097,309914.0,Sabrine Ellouzi,2024-10-03 05:37:51
12827,716361,80,43902385,124,Yentl Van Goch (Excelsior) Throw In at 30',Yentl Van Goch Throw In,1,1764,30',20799,0,0,1980-01-01,0.0,0.0,0.548,0.0,0.288,0.17,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,81,43902386,124,Lieke De With (Excelsior) Throw In at 31',Lieke De With Throw In,1,1849,31',20799,0,0,1980-01-01,0.0,0.0,0.332,1.0,0.214,0.721,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,82,43902387,95,Nurija Van Schoonhoven (FC Utrecht) Corner Kick at 31',Nurija Van Schoonhoven Corner Ki,1,1857,31',21978,0,0,1980-01-01,0.0,0.0,0.074,0.676,0.0,0.0,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
